Symbol,DATE,CLOSE,Sector
UPL,2019-08-23,547.25,chemical
M&M,2019-08-23,533.25,auto
HCLTECH,2019-08-23,543.5,it
NESTLEIND,2019-08-23,12438.65,food
WIPRO,2019-08-23,251.4,it
BAJAJ-AUTO,2019-08-23,2749.15,auto
BRITANNIA,2019-08-23,2466.65,food
JSWSTEEL,2019-08-23,220.65,iron_steel
GRASIM,2019-08-23,719.45,other
GAIL,2019-08-23,124.4,oil_refineries
HEROMOTOCO,2019-08-23,2640.2,auto
HINDALCO,2019-08-23,180.25,iron_steel
INFRATEL,2019-08-23,246.95,telecommunications
CIPLA,2019-08-23,465.9,pharmaceuticals
ADANIPORTS,2019-08-23,349.35,infra
RELIANCE,2019-08-22,1246.75,oil_refineries
SBIN,2019-08-22,268.55,banks
ICICIBANK,2019-08-22,399.1,banks
HDFCBANK,2019-08-22,1087.05,banks
BPCL,2019-08-22,313.0,oil_refineries
YESBANK,2019-08-22,56.3,banks
BAJFINANCE,2019-08-22,6767.35,finance
INDUSINDBK,2019-08-22,1335.65,banks
HDFC,2019-08-22,2014.1,finance
TCS,2019-08-22,2216.0,it
AXISBANK,2019-08-22,661.15,banks
LT,2019-08-22,1294.25,infra
TATAMOTORS,2019-08-22,107.7,auto
KOTAKBANK,2019-08-22,1478.25,banks
BHARTIARTL,2019-08-22,352.75,telecommunications
INFY,2019-08-22,795.7,it
POWERGRID,2019-08-22,202.75,power
MARUTI,2019-08-22,6208.55,auto
ONGC,2019-08-22,116.95,oil_refineries
TATASTEEL,2019-08-22,333.7,iron_steel
ASIANPAINT,2019-08-22,1570.2,chemical
HINDUNILVR,2019-08-22,1872.1,personal_care
SUNPHARMA,2019-08-22,414.55,pharmaceuticals
NTPC,2019-08-22,114.75,power
ZEEL,2019-08-22,328.95,media_entmt
COALINDIA,2019-08-22,180.85,mining
ITC,2019-08-22,240.05,other
VEDL,2019-08-22,129.05,mining
EICHERMOT,2019-08-22,15523.35,auto
IOC,2019-08-22,117.8,oil_refineries
DRREDDY,2019-08-22,2545.4,pharmaceuticals
BAJAJFINSV,2019-08-22,6767.35,finance
TITAN,2019-08-22,1061.75,other
TECHM,2019-08-22,682.75,it
ULTRACEMCO,2019-08-22,3838.15,chemical
UPL,2019-08-22,518.05,chemical
M&M,2019-08-22,511.8,auto
HCLTECH,2019-08-22,539.45,it
NESTLEIND,2019-08-22,12470.0,food
WIPRO,2019-08-22,252.05,it
